Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	376.884769527	377.260003066	1628.571	2828.571	0.3752	1200.000	-74.43	NOBO
2	Spectrogram 1	1	377.802007065	378.218933219	1542.857	2914.286	0.4169	1371.429	-74.38	NOBO
3	Spectrogram 1	1	389.083835374	389.445171374	1842.857	2871.429	0.3613	1028.571	-74.19	NOBO
4	Spectrogram 1	1	389.889892605	390.265126143	1714.286	2957.143	0.3752	1242.857	-73.71	NOBO
5	Spectrogram 1	1	390.737642450	391.154568604	1757.143	2914.286	0.4169	1157.143	-75.61	NOBO
6	Spectrogram 1	1	391.571494758	391.988420911	1585.714	3128.571	0.4169	1542.857	-74.74	NOBO
7	Spectrogram 1	1	392.377551988	392.724990450	1542.857	2957.143	0.3474	1414.286	-74.97	NOBO
8	Spectrogram 1	1	480.823343065	481.198576604	1328.571	2400.000	0.3752	1071.429	-73.30	NOBO
9	Spectrogram 1	1	482.282584603	482.713408295	1414.286	2442.857	0.4308	1028.571	-75.75	NOBO
10	Spectrogram 1	1	483.902519373	484.305547988	1328.571	2271.429	0.4030	942.857	-74.37	NOBO
11	Spectrogram 1	1	485.347863373	485.792584603	1285.714	2357.143	0.4447	1071.429	-75.97	NOBO
12	Spectrogram 1	1	486.320691064	486.654231987	1285.714	2485.714	0.3335	1200.000	-76.66	NOBO
