Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	226.220214585	226.873398893	1654.931	2647.889	0.6532	992.958	-77.62	NOBO
2	Spectrogram 1	1	230.389476122	230.834197353	1654.931	3610.758	0.4447	1955.827	-77.15	NOBO
3	Spectrogram 1	1	231.737537352	232.279541352	1504.483	2798.337	0.5420	1293.855	-76.64	NOBO
4	Spectrogram 1	1	240.618062831	241.187861908	1354.034	3670.937	0.5698	2316.903	-67.81	NOBO
5	Spectrogram 1	1	241.896636369	242.480332984	1203.586	4032.013	0.5837	2828.427	-65.01	NOBO
6	Spectrogram 1	1	243.314185292	243.828394214	1263.765	4001.923	0.5142	2738.158	-64.90	NOBO
7	Spectrogram 1	1	244.648348983	245.287635752	992.958	4062.103	0.6393	3069.144	-66.62	NOBO
8	Spectrogram 1	1	246.121488060	246.705184675	1173.496	4182.461	0.5837	3008.965	-65.73	NOBO
9	Spectrogram 1	1	272.082077832	272.568491678	1113.317	3701.027	0.4864	2587.710	-72.68	NOBO
10	Spectrogram 1	1	273.374548909	273.902655370	1203.586	3791.296	0.5281	2587.710	-64.39	NOBO
11	Spectrogram 1	1	274.708712600	275.209023985	1053.138	4242.641	0.5003	3189.503	-63.48	NOBO
12	Spectrogram 1	1	276.028978754	276.598777830	1203.586	4001.923	0.5698	2798.337	-63.38	NOBO
13	Spectrogram 1	1	277.335346570	277.891248108	1023.048	4122.282	0.5559	3099.234	-62.74	NOBO
14	Spectrogram 1	1	278.544432415	279.100333954	1233.676	4001.923	0.5559	2768.248	-63.40	NOBO
15	Spectrogram 1	1	279.809108415	280.351112415	1143.407	4062.103	0.5420	2918.696	-65.17	NOBO
16	Spectrogram 1	1	281.268349953	281.796456414	1203.586	4062.103	0.5281	2858.517	-65.60	NOBO
