Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
10	Waveform 1	1	112.936299187	113.147305851	1662.065	2405.621	0.2110	743.556		
10	Spectrogram 1	1	112.936299187	113.147305851	1662.065	2405.621	0.2110	743.556	-71.34	
9	Waveform 1	1	111.740594752	111.969185306	1705.804	2536.837	0.2286	831.033		NOBO
9	Spectrogram 1	1	111.740594752	111.969185306	1705.804	2536.837	0.2286	831.033	-73.77	NOBO
12	Waveform 1	1	115.151869168	115.327708055	1662.065	2580.575	0.1758	918.510		NOBO
12	Spectrogram 1	1	115.151869168	115.327708055	1662.065	2580.575	0.1758	918.510	-71.73	NOBO
15	Waveform 1	1	116.228882353	116.422305129	1574.588	2493.098	0.1934	918.510		NOBO
15	Spectrogram 1	1	116.228882353	116.422305129	1574.588	2493.098	0.1934	918.510	-72.20	NOBO
1	Waveform 1	1	55.830034200	56.093792532	1618.327	2230.667	0.2638	612.340		NOBOF
1	Spectrogram 1	1	55.830034200	56.093792532	1618.327	2230.667	0.2638	612.340	-74.50	NOBOF
2	Waveform 1	1	57.087282245	57.351040576	1530.850	2361.882	0.2638	831.033		NOBOF
2	Spectrogram 1	1	57.087282245	57.351040576	1530.850	2361.882	0.2638	831.033	-75.16	NOBOF
3	Waveform 1	1	58.458825567	58.713791954	1487.111	2318.144	0.2550	831.033		NOBOF
3	Spectrogram 1	1	58.458825567	58.713791954	1487.111	2318.144	0.2550	831.033	-74.85	NOBOF
4	Waveform 1	1	60.472180827	60.674395548	1574.588	2230.667	0.2022	656.078		NOBOF
4	Spectrogram 1	1	60.472180827	60.674395548	1574.588	2230.667	0.2022	656.078	-75.29	NOBOF
5	Waveform 1	1	84.356791032	84.559005752	1574.588	2143.190	0.2022	568.601		NOBOF
5	Spectrogram 1	1	84.356791032	84.559005752	1574.588	2143.190	0.2022	568.601	-74.17	NOBOF
6	Waveform 1	1	85.394240467	85.605247132	1268.418	2361.882	0.2110	1093.464		NOBOF
6	Spectrogram 1	1	85.394240467	85.605247132	1268.418	2361.882	0.2110	1093.464	-74.64	NOBOF
7	Waveform 1	1	86.449273792	86.607528790	1268.418	2405.621	0.1583	1137.203		NOBOF
7	Spectrogram 1	1	86.449273792	86.607528790	1268.418	2405.621	0.1583	1137.203	-74.35	NOBOF
8	Waveform 1	1	87.504307116	87.732897670	1574.588	2361.882	0.2286	787.294		NOBOF
8	Spectrogram 1	1	87.504307116	87.732897670	1574.588	2361.882	0.2286	787.294	-76.28	NOBOF
11	Waveform 1	1	114.061668066	114.325426397	1443.373	2624.314	0.2638	1180.941		NOBOF
11	Spectrogram 1	1	114.061668066	114.325426397	1443.373	2624.314	0.2638	1180.941	-71.41	NOBOF
13	Waveform 1	1	115.485963054	115.653009997	1487.111	2143.190	0.1670	656.078		NOBOF
13	Spectrogram 1	1	115.485963054	115.653009997	1487.111	2143.190	0.1670	656.078	-71.03	NOBOF
17	Waveform 1	1	117.239955955	117.433378731	1355.895	2449.360	0.1934	1093.464		NOBOF
17	Spectrogram 1	1	117.239955955	117.433378731	1355.895	2449.360	0.1934	1093.464	-72.13	NOBOF
18	Waveform 1	1	118.648086500	118.885468998	1530.850	2230.667	0.2374	699.817		NOBOF
18	Spectrogram 1	1	118.648086500	118.885468998	1530.850	2230.667	0.2374	699.817	-74.01	NOBOF
19	Waveform 1	1	120.046005655	120.248220375	1530.850	2318.144	0.2022	787.294		NOBOF
19	Spectrogram 1	1	120.046005655	120.248220375	1530.850	2318.144	0.2022	787.294	-73.20	NOBOF
20	Waveform 1	1	121.329629533	121.558220087	1443.373	2274.405	0.2286	831.033		NOBOF
20	Spectrogram 1	1	121.329629533	121.558220087	1443.373	2274.405	0.2286	831.033	-73.07	NOBOF
21	Waveform 1	1	122.709964799	122.929763408	1574.588	2274.405	0.2198	699.817		NOBOF
21	Spectrogram 1	1	122.709964799	122.929763408	1574.588	2274.405	0.2198	699.817	-73.49	NOBOF
22	Waveform 1	1	124.030179618	124.223602394	1574.588	2230.667	0.1934	656.078		NOBOF
22	Spectrogram 1	1	124.030179618	124.223602394	1574.588	2230.667	0.1934	656.078	-72.70	NOBOF
