Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1 	 Waveform 1 	 1 	 41.8448677 	 42.038290477	 2274.405	3980.209	0.1934	1705.804		NOBO
1 	 Spectrogram 1 	 1 	 41.844867 	 42.038290477	 2274.405	3980.209	0.1934	1705.804	-70.44	NOBO
3 	 Waveform 1 	 1 	 85.74860262 	 85.9859851269	 2274.405	3892.732	0.2374	1618.327		NOBO
3 	 Spectrogram 1 	 1 	 85.74860262 	 85.9859851269	 2274.405	3892.732	0.2374	1618.327	-65.38	NOBO
7 	 Waveform 1 	 1 	 164.655782139 	 164.963500192	 2318.144	4111.425	0.3077	1793.281		NOBO
7 	 Spectrogram 1 	 1 	 164.655782139 	 164.963500192	 2318.144	4111.425	0.3077	1793.281	-71.15	NOBO
8 	 Waveform 1 	 1 	 172.279817714 	 172.605119655	 2011.974	3936.471	0.3253	1924.497		NOBO
8 	 Spectrogram 1 	 1 	 172.279817714 	 172.605119655	 2011.974	3936.471	0.3253	1924.497	-68.20	NOBO
9 	 Waveform 1 	 1 	 179.288417182 	 179.481839958	 2449.360	3805.255	0.1934	1355.895		NOBO
9 	 Spectrogram 1 	 1 	 179.288417182 	 179.481839958	 2449.360	3805.255	0.1934	1355.895	-64.07	NOBO
10 	 Waveform 1 	 1 	 183.492386397 	 183.729768895	 2186.928	4242.641	0.2374	2055.712		NOBO
10 	 Spectrogram 1 	 1 	 183.492386397 	 183.729768895	 2186.928	4242.641	0.2374	2055.712	-65.03	NOBO
11 	 Waveform 1 	 1 	 187.387217753 	 187.607016362	 2361.882	3936.471	0.2198	1574.588		NOBO
11 	 Spectrogram 1 	 1 	 187.387217753 	 187.607016362	 2361.882	3936.471	0.2198	1574.588	-65.32	NOBO
12 	 Waveform 1 	 1 	 192.199254293 	 192.498180401	 2230.667	3892.732	0.2989	1662.065		NOBO
12 	 Spectrogram 1 	 1 	 192.199254293 	 192.498180401	 2230.667	3892.732	0.2989	1662.065	-61.20	NOBO
13 	 Waveform 1 	 1 	 196.199588981 	 196.454555367	 2230.667	4023.948	0.2550	1793.281		NOBO
13 	 Spectrogram 1 	 1 	 196.199588981 	 196.454555367	 2230.667	4023.948	0.2550	1793.281	-66.96	NOBO
14 	 Waveform 1 	 1 	 201.140661716 	 201.465963658	 1968.235	4330.118	0.3253	2361.882		NOBO
14 	 Spectrogram 1 	 1 	 201.140661716 	 201.465963658	 1968.235	4330.118	0.3253	2361.882	-65.43	NOBO
16 	 Waveform 1 	 1 	 265.27573027 	 265.469153046	 1880.758	2668.052	0.1934	787.294		NOBO
16 	 Spectrogram 1 	 1 	 265.27573027 	 265.469153046	 1880.758	2668.052	0.1934	787.294	-70.62	NOBO
17 	 Waveform 1 	 1 	 266.225260262 	 266.445058871	 1837.020	2843.007	0.2198	1005.987		NOBO
17 	 Spectrogram 1 	 1 	 266.225260262 	 266.445058871	 1837.020	2843.007	0.2198	1005.987	-71.86	NOBO
18 	 Waveform 1 	 1 	 267.165998309 	 267.394588863	 1749.543	2799.268	0.2286	1049.726		NOBO
18 	 Spectrogram 1 	 1 	 267.165998309 	 267.394588863	 1749.543	2799.268	0.2286	1049.726	-71.69	NOBO
19 	 Waveform 1 	 1 	 268.185863856 	 268.344118855	 1837.020	2843.007	0.1583	1005.987		NOBO
19 	 Spectrogram 1 	 1 	 268.185863856 	 268.344118855	 1837.020	2843.007	0.1583	1005.987	-68.87	NOBO
20 	 Waveform 1 	 1 	 269.110437821 	 269.26869282	 1705.804	2624.314	0.1583	918.510		NOBO
20 	 Spectrogram 1 	 1 	 269.110437821 	 269.26869282	 1705.804	2624.314	0.1583	918.510	-67.18	NOBO
21 	 Waveform 1 	 1 	 270.042383924 	 270.191846979	 1530.850	2668.052	0.1495	1137.203		NOBO
21 	 Spectrogram 1 	 1 	 270.042383924 	 270.191846979	 1530.850	2668.052	0.1495	1137.203	-71.60	NOBO
22 	 Waveform 1 	 1 	 280.648308446 	 280.815355389	 1662.065	2755.530	0.1670	1093.464		NOBO
22 	 Spectrogram 1 	 1 	 280.648308446 	 280.815355389	 1662.065	2755.530	0.1670	1093.464	-72.89	NOBO
23 	 Waveform 1 	 1 	 281.562670661 	 281.747301492	 1662.065	2755.530	0.1846	1093.464		NOBO
23 	 Spectrogram 1 	 1 	 281.562670661 	 281.747301492	 1662.065	2755.530	0.1846	1093.464	-71.24	NOBO
24 	 Waveform 1 	 1 	 282.450657042 	 282.644079818	 1880.758	2580.575	0.1934	699.817		NOBO
24 	 Spectrogram 1 	 1 	 282.450657042 	 282.644079818	 1880.758	2580.575	0.1934	699.817	-70.83	NOBO
25 	 Waveform 1 	 1 	 283.303475646 	 283.470522589	 1705.804	2711.791	0.1670	1005.987		NOBO
25 	 Spectrogram 1 	 1 	 283.303475646 	 283.470522589	 1705.804	2711.791	0.1670	1005.987	-68.59	NOBO
26 	 Waveform 1 	 1 	 284.068374806 	 284.332133137	 1837.020	2755.530	0.2638	918.510		NOBO
26 	 Spectrogram 1 	 1 	 284.068374806 	 284.332133137	 1837.020	2755.530	0.2638	918.510	-70.62	NOBO
33 	 Waveform 1 	 1 	 303.177536054 	 303.485254107	 1968.235	2624.314	0.3077	656.078		NOBO
33 	 Spectrogram 1 	 1 	 303.177536054 	 303.485254107	 1968.235	2624.314	0.3077	656.078	-67.41	NOBO
35 	 Waveform 1 	 1 	 304.091898268 	 304.346864655	 2011.974	2755.530	0.2550	743.556		NOBO
35 	 Spectrogram 1 	 1 	 304.091898268 	 304.346864655	 2011.974	2755.530	0.2550	743.556	-66.97	NOBO
37 	 Waveform 1 	 1 	 304.962300761 	 305.18209937	 2011.974	2843.007	0.2198	831.033		NOBO
37 	 Spectrogram 1 	 1 	 304.962300761 	 305.18209937	 2011.974	2843.007	0.2198	831.033	-66.69	NOBO
39 	 Waveform 1 	 1 	 305.74478381 	 305.920622697	 1924.497	2580.575	0.1758	656.078		NOBO
39 	 Spectrogram 1 	 1 	 305.74478381 	 305.920622697	 1924.497	2580.575	0.1758	656.078	-67.92	NOBO
40 	 Waveform 1 	 1 	 305.085387982 	 305.313978536	 1749.543	2493.098	0.2286	743.556		NOBO
