Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	26.329938193	26.514569025	1705.804	2230.667	0.1846	524.863		NOBO
1	Spectrogram 1	1	26.329938193	26.514569025	1705.804	2230.667	0.1846	524.863	-70.86	NOBO
4	Waveform 1	1	47.614022012	47.969859781	1399.634	2405.621	0.3558	1005.987		NOBO
4	Spectrogram 1	1	47.614022012	47.969859781	1399.634	2405.621	0.3558	1005.987	-70.29	NOBO
5	Waveform 1	1	48.971477204	49.380031680	1180.941	2799.268	0.4086	1618.327		NOBO
5	Spectrogram 1	1	48.971477204	49.380031680	1180.941	2799.268	0.4086	1618.327	-69.28	NOBO
6	Waveform 1	1	50.342111574	50.777024402	1443.373	2361.882	0.4349	918.510		NOBO
6	Spectrogram 1	1	50.342111574	50.777024402	1443.373	2361.882	0.4349	918.510	-70.77	NOBO
8	Waveform 1	1	51.805532218	52.187728340	1312.157	2930.484	0.3822	1618.327		NOBO
8	Spectrogram 1	1	51.805532218	52.187728340	1312.157	2930.484	0.3822	1618.327	-70.74	NOBO
9	Waveform 1	1	53.018016467	53.294779177	1093.464	2143.190	0.2768	1049.726		NOBO
9	Spectrogram 1	1	53.018016467	53.294779177	1093.464	2143.190	0.2768	1049.726	-67.41	NOBO
10	Waveform 1	1	54.322754954	54.678592722	1268.418	2668.052	0.3558	1399.634		NOBO
10	Spectrogram 1	1	54.322754954	54.678592722	1268.418	2668.052	0.3558	1399.634	-71.48	NOBO
13	Waveform 1	1	55.519728243	55.849207659	1224.680	2755.530	0.3295	1530.850		NOBO
13	Spectrogram 1	1	55.519728243	55.849207659	1224.680	2755.530	0.3295	1530.850	-70.43	NOBO
14	Waveform 1	1	69.205556501	69.482319211	1530.850	3324.131	0.2768	1793.281		NOBO
14	Spectrogram 1	1	69.205556501	69.482319211	1530.850	3324.131	0.2768	1793.281	-62.24	NOBO
15	Waveform 1	1	68.164401548	68.480701787	1880.758	3324.131	0.3163	1443.373		NOBO
15	Spectrogram 1	1	68.164401548	68.480701787	1880.758	3324.131	0.3163	1443.373	-58.36	NOBO
16	Waveform 1	1	62.523713951	62.984985133	1837.020	3499.085	0.4613	1662.065		NOBO
16	Spectrogram 1	1	62.523713951	62.984985133	1837.020	3499.085	0.4613	1662.065	-70.38	NOBO
17	Waveform 1	1	63.802093799	64.144752391	1880.758	3499.085	0.3427	1618.327		NOBO
17	Spectrogram 1	1	63.802093799	64.144752391	1880.758	3499.085	0.3427	1618.327	-67.06	NOBO
18	Waveform 1	1	64.895965459	65.172728168	1399.634	3455.347	0.2768	2055.712		NOBO
18	Spectrogram 1	1	64.895965459	65.172728168	1399.634	3455.347	0.2768	2055.712	-64.51	NOBO
19	Waveform 1	1	66.016195472	66.292958181	1487.111	3324.131	0.2768	1837.020		NOBO
19	Spectrogram 1	1	66.016195472	66.292958181	1487.111	3324.131	0.2768	1837.020	-58.90	NOBO
20	Waveform 1	1	67.083708779	67.294575605	1618.327	3236.654	0.2109	1618.327		NOBO
20	Spectrogram 1	1	67.083708779	67.294575605	1618.327	3236.654	0.2109	1618.327	-58.85	NOBO
21	Waveform 1	1	74.666561053	75.048757175	1312.157	2668.052	0.3822	1355.895		NOBO
21	Spectrogram 1	1	74.666561053	75.048757175	1312.157	2668.052	0.3822	1355.895	-71.18	NOBO
23	Waveform 1	1	76.524824957	76.893841903	1618.327	3061.699	0.3690	1443.373		NOBO
23	Spectrogram 1	1	76.524824957	76.893841903	1618.327	3061.699	0.3690	1443.373	-67.53	NOBO
24	Waveform 1	1	77.710950853	78.119505329	1530.850	2974.222	0.4086	1443.373		NOBO
24	Spectrogram 1	1	77.710950853	78.119505329	1530.850	2974.222	0.4086	1443.373	-65.72	NOBO
25	Waveform 1	1	78.949793456	79.305631225	1705.804	3017.961	0.3558	1312.157		NOBO
25	Spectrogram 1	1	78.949793456	79.305631225	1705.804	3017.961	0.3558	1312.157	-67.57	NOBO
